show,season,episode_n,season_n,title,director,writer,air_date
NCIS,Season Season 10 (2012–13),219,9,Devil's Trifecta,Arvin Brown,Steven D. Binder,11-Dec-12
NCIS,Season Season 10 (2012–13),220,10,You Better Watch Out,Tony Wharmby,George Schenck & Frank Cardea,18-Dec-12
NCIS,Season Season 10 (2012–13),221,11,Shabbat Shalom,Dennis Smith,Christopher J. Waild,8-Jan-13
NCIS,Season Season 10 (2012–13),222,12,Shiva,Arvin Brown,Teleplay by : Scott Williams,15-Jan-13
NCIS,Season Season 10 (2012–13),223,13,Hit and Run,Dennis Smith,Teleplay by : Gina Lucita Monreal,29-Jan-13
NCIS,Season Season 10 (2012–13),224,14,Canary,Terrence O'Hara,Christopher J. Waild,5-Feb-13
NCIS,Season Season 10 (2012–13),225,15,Hereafter,Tony Wharmby,Nicole Mirante-Matthews,19-Feb-13
NCIS,Season Season 10 (2012–13),226,16,Detour,Mario Van Peebles,Steven D. Binder,26-Feb-13
NCIS,Season Season 10 (2012–13),227,17,Prime Suspect,James Whitmore Jr.,George Schenck & Frank Cardea,5-Mar-13
NCIS,Season Season 10 (2012–13),228,18,Seek,Michael Weatherly,Scott Williams,19-Mar-13
NCIS,Season Season 10 (2012–13),229,19,Squall,Thomas J. Wright,Bill Nuss,26-Mar-13
NCIS,Season Season 10 (2012–13),230,20,Chasing Ghosts,Arvin Brown,Nicole Mirante-Matthews,9-Apr-13
NCIS,Season Season 10 (2012–13),231,21,Berlin,Terrence O'Hara,Scott Williams & Gina Lucita Monreal,23-Apr-13
NCIS,Season Season 10 (2012–13),232,22,Revenge,James Whitmore Jr.,George Schenck & Frank Cardea,30-Apr-13
NCIS,Season Season 10 (2012–13),233,23,Double Blind,Dennis Smith,Christopher J. Waild & Steven D. Binder,7-May-13
NCIS,Season Season 10 (2012–13),234,24,Damned If You Do,Tony Wharmby,Gary Glasberg,14-May-13
NCIS,Season Season 11 (2013–14),235,1,Whiskey Tango Foxtrot,Tony Wharmby,Gary Glasberg,24-Sep-13
NCIS,Season Season 11 (2013–14),236,2,"Past, Present, and Future",James Whitmore Jr.,Teleplay by : Scott Williams & Gina Lucita Monreal,1-Oct-13
NCIS,Season Season 11 (2013–14),237,3,Under the Radar,Dennis Smith,George Schenck & Frank Cardea,8-Oct-13
NCIS,Season Season 11 (2013–14),238,4,Anonymous Was a Woman,Terrence O'Hara,Steven D. Binder,15-Oct-13
NCIS,Season Season 11 (2013–14),239,5,Once a Crook,Arvin Brown,Christopher Silber,22-Oct-13
NCIS,Season Season 11 (2013–14),240,6,Oil & Water,Thomas J. Wright,Jennifer Corbett,29-Oct-13
NCIS,Season Season 11 (2013–14),241,7,Better Angels,Tony Wharmby,Gina Lucita Monreal,5-Nov-13
NCIS,Season Season 11 (2013–14),242,8,Alibi,Holly Dale,George Schenck & Frank Cardea,12-Nov-13
NCIS,Season Season 11 (2013–14),243,9,Gut Check,Dennis Smith,Christopher J. Waild,19-Nov-13
NCIS,Season Season 11 (2013–14),244,10,Devil's Triad,Arvin Brown,Steven D. Binder,10-Dec-13
NCIS,Season Season 11 (2013–14),245,11,Homesick,Terrence O'Hara,Scott Williams,17-Dec-13
NCIS,Season Season 11 (2013–14),246,12,Kill Chain,James Whitmore Jr.,Christopher Silber,7-Jan-14
NCIS,Season Season 11 (2013–14),247,13,Double Back,Tony Wharmby,Gina Lucita Monreal,14-Jan-14
NCIS,Season Season 11 (2013–14),248,14,Monsters and Men,Dennis Smith,Jennifer Corbett,4-Feb-14
NCIS,Season Season 11 (2013–14),249,15,Bulletproof,Leslie Libman,Christopher J. Waild,25-Feb-14
NCIS,Season Season 11 (2013–14),250,16,Dressed to Kill,Thomas J. Wright,George Schenck & Frank Cardea,4-Mar-14
NCIS,Season Season 11 (2013–14),251,17,Rock and a Hard Place,Arvin Brown,Steven D. Binder,18-Mar-14
NCIS,Season Season 11 (2013–14),252,18,Crescent City (Part I),James Whitmore Jr.,Gary Glasberg,25-Mar-14
NCIS,Season Season 11 (2013–14),253,19,Crescent City (Part II),Tony Wharmby,Gary Glasberg,1-Apr-14
NCIS,Season Season 11 (2013–14),254,20,Page Not Found,Terrence O'Hara,Christopher J. Waild,8-Apr-14
NCIS,Season Season 11 (2013–14),255,21,Alleged,Arvin Brown,Scott Williams,15-Apr-14
NCIS,Season Season 11 (2013–14),256,22,Shooter,Dennis Smith,George Schenck & Frank Cardea,29-Apr-14
NCIS,Season Season 11 (2013–14),257,23,The Admiral's Daughter,James Whitmore Jr.,Christopher Silber & Steven D. Binder,6-May-14
NCIS,Season Season 11 (2013–14),258,24,Honor Thy Father,Tony Wharmby,Gary Glasberg & Gina Lucita Monreal,13-May-14
NCIS,Season Season 12 (2014–15),259,1,Twenty Klicks,Tony Wharmby,Gary Glasberg & Scott Williams,23-Sep-14
NCIS,Season Season 12 (2014–15),260,2,Kill the Messenger,Dennis Smith,George Schenck & Frank Cardea,30-Sep-14
NCIS,Season Season 12 (2014–15),261,3,So It Goes,Leslie Libman,Steven D. Binder,7-Oct-14
NCIS,Season Season 12 (2014–15),262,4,Choke Hold,Terrence O'Hara,Christopher J. Waild,14-Oct-14
NCIS,Season Season 12 (2014–15),263,5,The San Dominick,Arvin Brown,Christopher Silber,21-Oct-14
NCIS,Season Season 12 (2014–15),264,6,Parental Guidance Suggested,Thomas J. Wright,Jennifer Corbett,28-Oct-14
NCIS,Season Season 12 (2014–15),265,7,The Searchers,Tony Wharmby,Gina Lucita Monreal,11-Nov-14
NCIS,Season Season 12 (2014–15),266,8,Semper Fortis,Dennis Smith,Matthew R. Jarrett & Scott J. Jarrett,18-Nov-14
NCIS,Season Season 12 (2014–15),267,9,Grounded,Bethany Rooney,Scott Williams,25-Nov-14
NCIS,Season Season 12 (2014–15),268,10,House Rules,Terrence O'Hara,Christopher J. Waild,16-Dec-14
NCIS,Season Season 12 (2014–15),269,11,Check,Alrick Riley,Steven D. Binder,6-Jan-15
NCIS,Season Season 12 (2014–15),270,12,The Enemy Within,James Whitmore Jr.,George Schenck & Frank Cardea,13-Jan-15
NCIS,Season Season 12 (2014–15),271,13,"We Build, We Fight",Rocky Carroll,Jennifer Corbett,3-Feb-15
NCIS,Season Season 12 (2014–15),272,14,Cadence,Tony Wharmby,Christopher Silber,10-Feb-15
NCIS,Season Season 12 (2014–15),273,15,Cabin Fever,Bethany Rooney,Scott Williams,17-Feb-15
NCIS,Season Season 12 (2014–15),274,16,Blast from the Past,Dennis Smith,David J. North,24-Feb-15
NCIS,Season Season 12 (2014–15),275,17,The Artful Dodger,Terrence O'Hara,Gina Lucita Monreal,10-Mar-15
NCIS,Season Season 12 (2014–15),276,18,Status Update,Holly Dale,Christopher J. Waild,24-Mar-15
NCIS,Season Season 12 (2014–15),277,19,Patience,Thomas J. Wright,Steven D. Binder,31-Mar-15
NCIS,Season Season 12 (2014–15),278,20,No Good Deed,Arvin Brown,George Schenck & Frank Cardea,7-Apr-15
NCIS,Season Season 12 (2014–15),279,21,Lost in Translation,Tony Wharmby,Jennifer Corbett,14-Apr-15
NCIS,Season Season 12 (2014–15),280,22,Troll,Dennis Smith,Scott Williams,28-Apr-15
NCIS,Season Season 12 (2014–15),281,23,The Lost Boys,James Whitmore Jr.,Gina Lucita Monreal,5-May-15
NCIS,Season Season 12 (2014–15),282,24,Neverland,Tony Wharmby,Gary Glasberg,12-May-15
NCIS,Season Season 13 (2015–16),283,1,Stop the Bleeding,Tony Wharmby,Gary Glasberg & Scott Williams,22-Sep-15
NCIS,Season Season 13 (2015–16),284,2,Personal Day,Terrence O'Hara,Gina Lucita Monreal,29-Sep-15
NCIS,Season Season 13 (2015–16),285,3,Incognito,James Whitmore Jr.,George Schenck & Frank Cardea,6-Oct-15
NCIS,Season Season 13 (2015–16),286,4,Double Trouble,Dennis Smith,Christopher J. Waild,13-Oct-15
NCIS,Season Season 13 (2015–16),287,5,Lockdown,Bethany Rooney,Stephen D. Binder,20-Oct-15
NCIS,Season Season 13 (2015–16),288,6,Viral,Rocky Carroll,Jennifer Corbett,27-Oct-15
NCIS,Season Season 13 (2015–16),289,7,16 Years,Mark Horowitz,Brendan Fehily,3-Nov-15
NCIS,Season Season 13 (2015–16),290,8,Saviors,Tony Wharmby,Scott Williams,10-Nov-15
NCIS,Season Season 13 (2015–16),291,9,Day In Court,Dennis Smith,George Schenck & Frank Cardea,17-Nov-15
NCIS,Season Season 13 (2015–16),292,10,Blood Brothers,Arvin Brown,Teleplay by : Jennifer Corbett,24-Nov-15
NCIS,Season Season 13 (2015–16),293,11,Spinning Wheel,Terrence O'Hara,Steven D. Binder,15-Dec-15
NCIS,Season Season 13 (2015–16),294,12,Sister City (Part I),Leslie Libman,Christopher J. Waild,5-Jan-16
NCIS,Season Season 13 (2015–16),295,13,Déjà Vu,Rocky Carroll,Matthew R. Jarrett & Scott J. Jarrett,19-Jan-16
NCIS,Season Season 13 (2015–16),296,14,Decompressed,Thomas J. Wright,Brendan Fehily,9-Feb-16
NCIS,Season Season 13 (2015–16),297,15,React,Bethany Rooney,Jennifer Corbett,16-Feb-16
NCIS,Season Season 13 (2015–16),298,16,Loose Cannons,Alrick Riley,Scott Williams,23-Feb-16
NCIS,Season Season 13 (2015–16),299,17,After Hours,Terrence O'Hara,Cindi Hemingway,1-Mar-16
NCIS,Season Season 13 (2015–16),300,18,Scope,Tony Wharmby,Gary Glasberg & Gina Lucita Monreal,15-Mar-16
NCIS,Season Season 13 (2015–16),301,19,Reasonable Doubts,Thomas J. Wright,George Schenck & Frank Cardea,22-Mar-16
NCIS,Season Season 13 (2015–16),302,20,Charade,Edward Ornelas,Brendan Fehily,5-Apr-16
NCIS,Season Season 13 (2015–16),303,21,Return to Sender,Leslie Libman,Christopher J. Waild,19-Apr-16
NCIS,Season Season 13 (2015–16),304,22,Homefront,Dennis Smith,Gina Lucita Monreal & Jennifer Corbett,3-May-16
NCIS,Season Season 13 (2015–16),305,23,Dead Letter,James Whitmore Jr.,Steven D. Binder,10-May-16
NCIS,Season Season 13 (2015–16),306,24,Family First,Tony Wharmby,Gary Glasberg & Scott Williams,17-May-16
NCIS,Season Season 14 (2016–17),307,1,Rogue,Tony Wharmby,Gary Glasberg & Jennifer Corbett,20-Sep-16
NCIS,Season Season 14 (2016–17),308,2,Being Bad,James Whitmore Jr.,Steven D. Binder,27-Sep-16
NCIS,Season Season 14 (2016–17),309,3,Privileged Information,Edward Ornelas,George Schenck & Frank Cardea,4-Oct-16
NCIS,Season Season 14 (2016–17),310,4,Love Boat,Terrence O'Hara,Christopher J. Waild,11-Oct-16
NCIS,Season Season 14 (2016–17),311,5,Philly,Allan Arkush,Scott Williams,18-Oct-16
NCIS,Season Season 14 (2016–17),312,6,Shell Game,Thomas J. Wright,Brendan Fehily,25-Oct-16
NCIS,Season Season 14 (2016–17),313,7,Home of the Brave,Alrick Riley,Gina Lucita Monreal,15-Nov-16
NCIS,Season Season 14 (2016–17),314,8,Enemy Combatant,Tony Wharmby,Jennifer Corbett,22-Nov-16
NCIS,Season Season 14 (2016–17),315,9,Pay to Play,Arvin Brown,Cindi Hemingway,6-Dec-16
NCIS,Season Season 14 (2016–17),316,10,The Tie That Binds,Arvin Brown,Steven D. Binder,13-Dec-16
NCIS,Season Season 14 (2016–17),317,11,Willoughby,Tony Wharmby,Gina Lucita Monreal,3-Jan-17
NCIS,Season Season 14 (2016–17),318,12,Off the Grid,Rocky Carroll,George Schenck & Frank Cardea,17-Jan-17
NCIS,Season Season 14 (2016–17),319,13,Keep Going,Terrence O'Hara,Teleplay by : Scott Williams,24-Jan-17
NCIS,Season Season 14 (2016–17),320,14,Nonstop,Mark Horowitz,Brendan Fehily,7-Feb-17
NCIS,Season Season 14 (2016–17),321,15,Pandora's Box (Part I),Alrick Riley,Christopher J. Waild,14-Feb-17
NCIS,Season Season 14 (2016–17),322,16,A Many Splendored Thing,Michael Zinberg,David J. North & Steven D. Binder,21-Feb-17
NCIS,Season Season 14 (2016–17),323,17,What Lies Above,Leslie Libman,Scott Williams,7-Mar-17
NCIS,Season Season 14 (2016–17),324,18,M.I.A.,Thomas J. Wright,Jennifer Corbett,14-Mar-17
NCIS,Season Season 14 (2016–17),325,19,The Wall,Bethany Rooney,Gina Lucita Monreal,28-Mar-17
NCIS,Season Season 14 (2016–17),326,20,A Bowl of Cherries,Edward Ornelas,Brendan Fehily,4-Apr-17
NCIS,Season Season 14 (2016–17),327,21,"One Book, Two Covers",Terrence O'Hara,David J. North,18-Apr-17
NCIS,Season Season 14 (2016–17),328,22,Beastmaster,Bethany Rooney,Christopher J. Waild,2-May-17
NCIS,Season Season 14 (2016–17),329,23,Something Blue,James Whitmore Jr.,Jennifer Corbett & Scott Williams,9-May-17
NCIS,Season Season 14 (2016–17),330,24,Rendezvous,Tony Wharmby,George Schenck & Frank Cardea & Steven D. Binder,16-May-17
NCIS,Season Season 15 (2017–18),331,1,House Divided,Tony Wharmby,Steven D. Binder,26-Sep-17
NCIS,Season Season 15 (2017–18),332,2,Twofer,James Whitmore Jr.,Scott Williams,3-Oct-17
NCIS,Season Season 15 (2017–18),333,3,Exit Strategy,Terrence O'Hara,Christopher J. Waild,10-Oct-17
NCIS,Season Season 15 (2017–18),334,4,Skeleton Crew,Rocky Carroll,Jennifer Corbett,17-Oct-17
NCIS,Season Season 15 (2017–18),335,5,Fake It 'Til You Make It,Thomas J. Wright,David J. North,24-Oct-17
NCIS,Season Season 15 (2017–18),336,6,Trapped,Bethany Rooney,Brendan Fehily,31-Oct-17
NCIS,Season Season 15 (2017–18),337,7,Burden of Proof,Dennis Smith,Gina Lucita Monreal,7-Nov-17
NCIS,Season Season 15 (2017–18),338,8,Voices,Tony Wharmby,Steven D. Binder,14-Nov-17
NCIS,Season Season 15 (2017–18),339,9,Ready or Not,Terrence O'Hara,Scott Williams,21-Nov-17
NCIS,Season Season 15 (2017–18),340,10,Double Down,Alrick Riley,Christopher J. Waild,12-Dec-17
NCIS,Season Season 15 (2017–18),341,11,High Tide,Tony Wharmby,David J. North & Steven D. Binder,2-Jan-18
NCIS,Season Season 15 (2017–18),342,12,Dark Secrets,Bethany Rooney,George Schenck & Frank Cardea,9-Jan-18
NCIS,Season Season 15 (2017–18),343,13,Family Ties,Rocky Carroll,Brendan Fehily,23-Jan-18
NCIS,Season Season 15 (2017–18),344,14,Keep Your Friends Close,Mark Horowitz,Gina Lucita Monreal,6-Feb-18
NCIS,Season Season 15 (2017–18),345,15,Keep Your Enemies Closer,Thomas J. Wright,Jennifer Corbett,27-Feb-18
NCIS,Season Season 15 (2017–18),346,16,Handle with Care,Alrick Riley,Scott J. Jarrett & Matthew R. Jarrett,6-Mar-18
NCIS,Season Season 15 (2017–18),347,17,One Man's Trash,Michael Zinberg,Scott Williams,13-Mar-18
NCIS,Season Season 15 (2017–18),348,18,Death from Above,Rocky Carroll,Christopher J. Waild,27-Mar-18
NCIS,Season Season 15 (2017–18),349,19,The Numerical Limit,Leslie Libman,David J. North & Steven D. Binder,3-Apr-18
NCIS,Season Season 15 (2017–18),350,20,Sight Unseen,Bethany Rooney,Brendan Fehily,17-Apr-18
NCIS,Season Season 15 (2017–18),351,21,One Step Forward,James Whitmore Jr.,Gina Lucita Monreal,1-May-18
NCIS,Season Season 15 (2017–18),352,22,Two Steps Back,Michael Zinberg,Jennifer Corbett,8-May-18
NCIS,Season Season 15 (2017–18),353,23,Fallout,Terrence O'Hara,Teleplay by : David J. North & Christopher J. Waild,15-May-18
NCIS,Season Season 15 (2017–18),354,24,Date with Destiny,Tony Wharmby,Scott Williams & George Schenck & Frank Cardea,22-May-18
NCIS,Season Season 16 (2018–19),355,1,Destiny's Child,Tony Wharmby,Steven D. Binder,25-Sep-18
NCIS,Season Season 16 (2018–19),356,2,Love Thy Neighbor,Terrence O'Hara,Scott Williams,2-Oct-18
NCIS,Season Season 16 (2018–19),357,3,Boom,Leslie Libman,Brendan Fehily,9-Oct-18
NCIS,Season Season 16 (2018–19),358,4,Third Wheel,James Whitmore Jr.,Christopher J. Waild,16-Oct-18
NCIS,Season Season 16 (2018–19),359,5,Fragments,Michael Zinberg,Gina Lucita Monreal,23-Oct-18
NCIS,Season Season 16 (2018–19),360,6,Beneath the Surface,Rocky Carroll,Scott J. Jarrett & Matthew R. Jarrett,30-Oct-18
NCIS,Season Season 16 (2018–19),361,7,A Thousand Words,Alrick Riley,David J. North,13-Nov-18
NCIS,Season Season 16 (2018–19),362,8,Friendly Fire,Thomas J. Wright,Jennifer Corbett,20-Nov-18
NCIS,Season Season 16 (2018–19),363,9,Tailing Angie,Terrence O'Hara,George Schenck,4-Dec-18
NCIS,Season Season 16 (2018–19),364,10,What Child is This?,Michael Zinberg,Scott Williams,11-Dec-18
NCIS,Season Season 16 (2018–19),365,11,Toil and Trouble,Leslie Libman,Christopher J. Waild,8-Jan-19
NCIS,Season Season 16 (2018–19),366,12,The Last Link,Rocky Carroll,Brendan Fehily,15-Jan-19
NCIS,Season Season 16 (2018–19),367,13,She,Mark Horowitz,Gina Lucita Monreal,12-Feb-19
NCIS,Season Season 16 (2018–19),368,14,Once Upon a Tim,Tony Wharmby,David J. North & Steven D. Binder,19-Feb-19
NCIS,Season Season 16 (2018–19),369,15,Crossing the Line,Michael Zinberg,Jennifer Corbett,26-Feb-19
NCIS,Season Season 16 (2018–19),370,16,Bears and Cubs,Diana Valentine,Scott Williams,12-Mar-19
NCIS,Season Season 16 (2018–19),371,17,Silent Service,Rocky Carroll,Scott J. Jarrett & Matthew R. Jarrett,26-Mar-19
NCIS,Season Season 16 (2018–19),372,18,Mona Lisa,Alrick Riley,David J. North & Brendan Fehily,2-Apr-19
NCIS,Season Season 16 (2018–19),373,19,Perennial,Tony Wharmby,Gina Lucita Monreal,9-Apr-19
NCIS,Season Season 16 (2018–19),374,20,Hail & Farewell,Michael Zinberg,Jennifer Corbett,16-Apr-19
NCIS,Season Season 16 (2018–19),375,21,"Judge, Jury...",James Whitmore Jr.,Christopher J. Waild,30-Apr-19
NCIS,Season Season 16 (2018–19),376,22,...and Executioner,Terrence O'Hara,Christopher J. Waild & David J. North,7-May-19
NCIS,Season Season 16 (2018–19),377,23,Lost Time,Diana Valentine,Teleplay by : Scott Williams,14-May-19
NCIS,Season Season 16 (2018–19),378,24,Daughters,Tony Wharmby,Steven D. Binder,21-May-19
NCIS,Season Season 17 (2019–20),379,1,Out of the Darkness,Terrence O'Hara,Gina Lucita Monreal,24-Sep-19
NCIS,Season Season 17 (2019–20),380,2,Into the Light,Tony Wharmby,Steven D. Binder,1-Oct-19
NCIS,Season Season 17 (2019–20),381,3,Going Mobile,Thomas J. Wright,Scott Williams,8-Oct-19
NCIS,Season Season 17 (2019–20),382,4,Someone Else's Shoes,Michael Zinberg,Christopher J. Waild,15-Oct-19
NCIS,Season Season 17 (2019–20),383,5,Wide Awake,Diana Valentine,Brendan Fehily,22-Oct-19
NCIS,Season Season 17 (2019–20),384,6,Institutionalized,Tony Wharmby,David J. North,5-Nov-19
NCIS,Season Season 17 (2019–20),385,7,No Vacancy,Rocky Carroll,Marco Schnabel,12-Nov-19
NCIS,Season Season 17 (2019–20),386,8,Musical Chairs,Michael Zinberg,Kate Torgovnick May,19-Nov-19
NCIS,Season Season 17 (2019–20),387,9,IRL,Terrence O'Hara,Christopher J. Waild,26-Nov-19
NCIS,Season Season 17 (2019–20),388,10,The North Pole,James Whitmore Jr.,Gina Lucita Monreal,17-Dec-19
NCIS,Season Season 17 (2019–20),389,11,In the Wind,Rocky Carroll,Scott Williams,7-Jan-20
NCIS,Season Season 17 (2019–20),390,12,Flight Plan,Tawnia McKiernan,Brendan Fehily,14-Jan-20
NCIS,Season Season 17 (2019–20),391,13,Sound Off,William Webb,Lisa Di Trolio,21-Jan-20
NCIS,Season Season 17 (2019–20),392,14,On Fire,Mark Horowitz,David J. North & Steven D. Binder,28-Jan-20
NCIS,Season Season 17 (2019–20),393,15,Lonely Hearts,Michael Zinberg,Marco Schnabel,11-Feb-20
NCIS,Season Season 17 (2019–20),394,16,Ephemera,Diana Valentine,Christopher J. Waild,18-Feb-20
NCIS,Season Season 17 (2019–20),395,17,In a Nutshell,Michael Zinberg,Katie White,10-Mar-20
NCIS,Season Season 17 (2019–20),396,18,Schooled,Alrick Riley,Kate Torgovnick May & Steven D. Binder,24-Mar-20
NCIS,Season Season 17 (2019–20),397,19,Blarney,Rocky Carroll,Scott Williams,31-Mar-20
NCIS,Season Season 17 (2019–20),398,20,The Arizona,James Whitmore Jr.,Gina Lucita Monreal,14-Apr-20
NCIS,Season Season 18 (2020–21),399,1,Sturgeon Season,Michael Zinberg,Scott Williams,17-Nov-20
NCIS,Season Season 18 (2020–21),400,2,Everything Starts Somewhere,Terrence O'Hara,Steven D. Binder,24-Nov-20
NCIS,Season Season 18 (2020–21),401,3,Blood and Treasure,Diana Valentine,Christopher J. Waild,8-Dec-20
NCIS,Season Season 18 (2020–21),402,4,Sunburn,Rocky Carroll,Marco Schnabel,19-Jan-21
NCIS,Season Season 18 (2020–21),403,5,Head of the Snake,Tawnia McKiernan,Brendan Fehily & David J. North,19-Jan-21
NCIS,Season Season 18 (2020–21),404,6,1mm,Diana Valentine,Gina Lucita Monreal,26-Jan-21
NCIS,Season Season 18 (2020–21),405,7,The First Day,James Whitmore Jr.,Margaret Rose Lester,9-Feb-21
NCIS,Season Season 18 (2020–21),406,8,True Believer,Terrence O'Hara,Jill Weinberger,2-Mar-21
NCIS,Season Season 18 (2020–21),407,9,Winter Chill,Michael Zinberg,Scott Williams,9-Mar-21
NCIS,Season Season 18 (2020–21),408,10,Watchdog,Diana Valentine,Brendan Fehily & David J. North,16-Mar-21
NCIS,Season Season 18 (2020–21),409,11,Gut Punch,Rocky Carroll,Christopher J. Waild,6-Apr-21
NCIS,Season Season 18 (2020–21),410,12,Sangre,James Whitmore Jr.,Marco Schnabel,27-Apr-21
NCIS,Season Season 18 (2020–21),411,13,Misconduct,Tawnia McKiernan,Brendan Fehily & Margaret Rose Lester & David J. North,4-May-21
NCIS,Season Season 18 (2020–21),412,14,Unseen Improvements,Diana Valentine,Steven D. Binder & Scott Williams,11-May-21
NCIS,Season Season 18 (2020–21),413,15,Blown Away,Michael Zinberg,Marco Schnabel & Christopher J. Waild,18-May-21
NCIS,Season Season 18 (2020–21),414,16,Rule 91,Diana Valentine,Brendan Fehily & David J. North,25-May-21
NCIS,Season Season 19 (2021–22),415,1,Blood in the Water,Michael Zinberg,Christopher J. Waild,20-Sep-21
NCIS,Season Season 19 (2021–22),416,2,Nearly Departed,Terrence O'Hara,Scott Williams,27-Sep-21
NCIS,Season Season 19 (2021–22),417,3,Road to Nowhere,Rocky Carroll,Marco Schnabel,4-Oct-21
NCIS,Season Season 19 (2021–22),418,4,Great Wide Open,Terrence O'Hara,Brendan Fehily & David J. North,11-Oct-21
NCIS,Season Season 19 (2021–22),419,5,Face the Strange,Diana Valentine,Steven D. Binder,18-Oct-21
NCIS,Season Season 19 (2021–22),420,6,False Start,James Whitmore Jr.,Katherine Beattie & Christopher J. Waild,1-Nov-21
NCIS,Season Season 19 (2021–22),421,7,Docked,Michael Zinberg,Marco Schnabel & Yasemin Yilmaz,8-Nov-21
NCIS,Season Season 19 (2021–22),422,8,Peacekeeper,Rocky Carroll,Margaret Rose Lester & Scott Williams,29-Nov-21
NCIS,Season Season 19 (2021–22),423,9,Collective Memory,Leslie Libman,Kimberly-Rose Wolter & David J. North,6-Dec-21
NCIS,Season Season 19 (2021–22),424,10,Pledge of Allegiance,Rocky Carroll,Brendan Fehily,3-Jan-22
NCIS,Season Season 19 (2021–22),425,11,All Hands,Martha Mitchell,Christopher J. Waild,17-Jan-22
NCIS,Season Season 19 (2021–22),426,12,Fight or Flight,James Whitmore Jr.,Katherine Beattie,24-Jan-22
NCIS,Season Season 19 (2021–22),427,13,The Helpers,Diana Valentine,Brian Dietzen & Scott Williams,28-Feb-22
NCIS,Season Season 19 (2021–22),428,14,First Steps,Michael Zinberg,Yasemin Yilmaz,7-Mar-22
NCIS,Season Season 19 (2021–22),429,15,Thick As Thieves,Terrence O'Hara,Marco Schnabel,14-Mar-22
NCIS,Season Season 19 (2021–22),430,16,The Wake,Rocky Carroll,Katie White,21-Mar-22
NCIS,Season Season 19 (2021–22),431,17,Starting Over,Michael Zinberg,Margaret Rose Lester & Scott Williams,28-Mar-22
NCIS,Season Season 19 (2021–22),432,18,Last Dance,Terrence O'Hara,Brendan Fehily & David J. North,18-Apr-22
NCIS,Season Season 19 (2021–22),433,19,The Brat Pack,Michael Zinberg,Katherine Beattie & Kimberly-Rose Wolter,2-May-22
NCIS,Season Season 19 (2021–22),434,20,All or Nothing,Tawnia McKiernan,Story by : Marco Schnabel & Yasemin Yilmaz,16-May-22
NCIS,Season Season 19 (2021–22),435,21,Birds of a Feather,Terrence O'Hara,Christopher J. Waild,23-May-22
NCIS,Season Season 20 (2022–23),436,1,A Family Matter,Tawnia McKiernan,Scott Williams,19-Sep-22
NCIS,Season Season 20 (2022–23),437,2,Daddy Issues,Michael Zinberg,Christopher J. Waild,26-Sep-22
NCIS,Season Season 20 (2022–23),438,3,Unearth,Diana Valentine,Yasemin Yilmaz,3-Oct-22
NCIS,Season Season 20 (2022–23),439,4,Leave No Trace,William Webb,Chad Gomez Creasey,10-Oct-22
NCIS,Season Season 20 (2022–23),440,5,Guardian,James Whitmore Jr.,Marco Schnabel,17-Oct-22
NCIS,Season Season 20 (2022–23),441,6,The Good Fighter,José Clemente Hernandez,Kimberly-Rose Wolter,24-Oct-22
NCIS,Season Season 20 (2022–23),442,7,Love Lost,Rocky Carroll,Brendan Fehily & David J. North,14-Nov-22
NCIS,Season Season 20 (2022–23),443,8,Turkey Trot,Lionel Coleman,Diona Reasonover & Scott Williams,21-Nov-22
NCIS,Season Season 20 (2022–23),444,9,Higher Education,Claudia Yarmy,Katherine Beattie,5-Dec-22
NCIS,Season Season 20 (2022–23),445,10,Too Many Cooks,Michael Zinberg,Christopher J. Waild,9-Jan-23
NCIS,Season Season 20 (2022–23),446,11,Bridges,Lionel Coleman,Chad Gomez Creasey,16-Jan-23
NCIS,Season Season 20 (2022–23),447,12,Big Rig,Rocky Carroll,Marco Schnabel,23-Jan-23
NCIS,Season Season 20 (2022–23),448,13,Evil Eye,Michael Zinberg,Brendan Fehily & Kimberly-Rose Wolter,6-Feb-23
NCIS,Season Season 20 (2022–23),449,14,Old Wounds,Diana Valentine,Brian Dietzen & Scott Williams,13-Feb-23
NCIS,Season Season 20 (2022–23),450,15,Unusual Suspects,James Whitmore Jr.,Katherine Beattie,27-Feb-23
NCIS,Season Season 20 (2022–23),451,16,Butterfly Effect,Tawnia McKiernan,Christopher J. Waild,13-Mar-23
NCIS,Season Season 20 (2022–23),452,17,Stranger in a Strange Land,James Whitmore Jr.,Chad Gomez Creasey,20-Mar-23
NCIS,Season Season 20 (2022–23),453,18,Head Games,Michael Zinberg,Sydney Mitchel,10-Apr-23
NCIS,Season Season 20 (2022–23),454,19,In the Spotlight,Rocky Carroll,Yasemin Yilmaz,1-May-23
NCIS,Season Season 20 (2022–23),455,20,Second Opinion[459],Tawnia McKiernan,Marco Schnabel,8-May-23
NCIS,Season Season 20 (2022–23),456,21,Kompromat[460],Lionel Coleman,Scott Williams,15-May-23
NCIS,Season Season 20 (2022–23),457,22,Black Sky[461],Diana Valentine,Brendan Fehily & David J. North,22-May-23
Greys Anatomy,Season 1,1,1,A Hard Day's Night,Peter Horton,Shonda Rhimes,27-Mar-05
Greys Anatomy,Season 1,2,2,The First Cut Is the Deepest,Peter Horton,Shonda Rhimes,3-Apr-05
Greys Anatomy,Season 1,3,3,"Winning a Battle, Losing the War",Tony Goldwyn,Shonda Rhimes,10-Apr-05
